traffic_record_id,state,road_type,lane_count,speed_limit_kmph,has_signal,enforcement_level,blackspot_score,season,day_of_week,hour_of_day,lighting,weather,is_peak,vehicle_count_per_hr,avg_speed_kmph,peak,traffic_data_quality_flag,signal_status,green_duration_s,red_duration_s,yellow_duration_s,cycle_time_s,violations_count,signal_data_quality_flag,accident_occurred,month,day,week_of_year,is_weekend,is_night,speed_ratio,traffic_density,signal_efficiency
58,Telangana,urban,2,47,1,low,0.318,monsoon,3,10,Day,Rain,1,1093.0,5.0,1,Unknown,Working,86.0,56.0,4.0,146.0,1.0,Unknown,0,7,3,27,0,0,0.10638297872340426,546.5,0.589041095890411
59,Telangana,urban,2,47,1,low,0.318,monsoon,3,11,Day,Rain,1,1103.0,5.0,1,Unknown,Working,78.0,34.0,3.0,115.0,4.0,Unknown,0,7,3,27,0,0,0.10638297872340426,551.5,0.6782608695652174
60,Telangana,urban,2,47,1,low,0.318,monsoon,3,12,Day,Clear,0,226.0,28.7,0,Unknown,Working,87.0,96.0,7.0,190.0,1.0,Unknown,0,7,3,27,0,0,0.6106382978723404,113.0,0.45789473684210524
61,Telangana,urban,2,47,1,low,0.318,monsoon,3,13,Day,Rain,0,471.0,6.3,0,Unknown,Working,68.0,30.0,4.0,102.0,0.0,Unknown,0,7,3,27,0,0,0.13404255319148936,235.5,0.6666666666666666
62,Telangana,urban,2,47,1,low,0.318,monsoon,3,14,Day,Clear,0,508.0,13.0,0,Unknown,Working,62.0,73.0,4.0,139.0,1.0,Unknown,0,7,3,27,0,0,0.2765957446808511,254.0,0.4460431654676259
63,Telangana,urban,2,47,1,low,0.318,monsoon,3,15,Day,Clear,0,942.0,15.1,0,Unknown,Blinking,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,3,27,0,0,0.32127659574468087,471.0,0.4195804195804196
64,Telangana,urban,2,47,1,low,0.318,monsoon,3,16,Day,Thunderstorm,0,215.0,30.2,0,Unknown,Working,46.0,46.0,7.0,99.0,0.0,Unknown,0,7,3,27,0,0,0.6425531914893617,107.5,0.46464646464646464
65,Telangana,urban,2,47,1,low,0.318,monsoon,3,17,Day,Rain,1,1232.0,7.3,1,Unknown,Working,41.0,88.0,3.0,132.0,3.0,Unknown,0,7,3,27,0,0,0.15531914893617021,616.0,0.3106060606060606
66,Telangana,urban,2,47,1,low,0.318,monsoon,3,18,Day,Rain,1,1782.0,5.0,1,Unknown,Working,51.0,117.0,5.0,173.0,3.0,Unknown,0,7,3,27,0,0,0.10638297872340426,891.0,0.2947976878612717
67,Telangana,urban,2,47,1,low,0.318,monsoon,3,19,Dusk/Dawn,Rain,1,529.0,10.6,1,Unknown,Working,66.0,77.0,5.0,148.0,0.0,Unknown,0,7,3,27,0,0,0.225531914893617,264.5,0.44594594594594594
68,Telangana,urban,2,47,1,low,0.318,monsoon,3,20,Night,Rain,1,1128.0,9.2,1,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,3,27,0,1,0.1957446808510638,564.0,0.4195804195804196
69,Telangana,urban,2,47,1,low,0.318,monsoon,3,21,Night,Rain,1,872.0,5.0,1,Unknown,Working,80.0,46.0,6.0,132.0,1.0,Unknown,0,7,3,27,0,1,0.10638297872340426,436.0,0.6060606060606061
70,Telangana,urban,2,47,1,low,0.318,monsoon,3,22,Night,Rain,0,383.0,15.0,0,Unknown,Working,42.0,47.0,7.0,96.0,3.0,Unknown,0,7,3,27,0,1,0.3191489361702128,191.5,0.4375
71,Telangana,urban,2,47,1,low,0.318,monsoon,3,23,Night,Rain,0,328.0,17.2,0,Unknown,Working,71.0,59.0,10.0,140.0,3.0,Unknown,1,7,3,27,0,1,0.3659574468085106,164.0,0.5071428571428571
72,Telangana,urban,2,47,1,low,0.318,monsoon,4,0,Night,Clear,0,438.0,11.4,0,Unknown,Working,26.0,41.0,7.0,74.0,3.0,Unknown,0,7,4,27,0,1,0.24255319148936172,219.0,0.35135135135135137
73,Telangana,urban,2,47,1,low,0.318,monsoon,4,1,Night,Rain,0,389.0,23.6,0,Unknown,Working,86.0,115.0,7.0,208.0,0.0,Unknown,0,7,4,27,0,1,0.5021276595744681,194.5,0.41346153846153844
74,Telangana,urban,2,47,1,low,0.318,monsoon,4,2,Night,Clear,0,466.0,27.4,0,Unknown,Working,25.0,101.0,3.0,129.0,3.0,Unknown,0,7,4,27,0,1,0.5829787234042553,233.0,0.1937984496124031
75,Telangana,urban,2,47,1,low,0.318,monsoon,4,3,Night,Clear,0,172.0,32.6,0,Unknown,Working,50.0,78.0,9.0,137.0,0.0,Unknown,0,7,4,27,0,1,0.6936170212765957,86.0,0.36496350364963503
76,Telangana,urban,2,47,1,low,0.318,monsoon,4,4,Night,Rain,0,344.0,16.4,0,Unknown,Working,84.0,32.0,7.0,123.0,3.0,Unknown,0,7,4,27,0,1,0.3489361702127659,172.0,0.6829268292682927
77,Telangana,urban,2,47,1,low,0.318,monsoon,4,5,Dusk/Dawn,Clear,0,359.0,25.1,0,Unknown,Working,31.0,39.0,5.0,75.0,3.0,Unknown,0,7,4,27,0,1,0.5340425531914894,179.5,0.41333333333333333
78,Telangana,urban,2,47,1,low,0.318,monsoon,4,6,Day,Thunderstorm,0,169.0,30.2,0,Unknown,Blinking,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,4,27,0,0,0.6425531914893617,84.5,0.4195804195804196
79,Telangana,urban,2,47,1,low,0.318,monsoon,4,7,Day,Thunderstorm,0,255.0,25.4,0,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,4,27,0,0,0.5404255319148936,127.5,0.4195804195804196
80,Telangana,urban,2,47,1,low,0.318,monsoon,4,8,Day,Thunderstorm,1,421.0,19.4,1,Unknown,Working,66.0,44.0,6.0,116.0,1.0,Unknown,0,7,4,27,0,0,0.4127659574468085,210.5,0.5689655172413793
81,Telangana,urban,2,47,1,low,0.318,monsoon,4,9,Day,Rain,1,925.0,10.5,1,Unknown,Working,75.0,63.0,6.0,144.0,1.0,Unknown,0,7,4,27,0,0,0.22340425531914893,462.5,0.5208333333333334
82,Telangana,urban,2,47,1,low,0.318,monsoon,4,10,Day,Clear,1,959.0,13.9,1,Unknown,Working,90.0,115.0,3.0,208.0,1.0,Unknown,0,7,4,27,0,0,0.2957446808510638,479.5,0.4326923076923077
83,Telangana,urban,2,47,1,low,0.318,monsoon,4,11,Day,Thunderstorm,1,377.0,26.4,1,Unknown,Working,67.0,46.0,5.0,118.0,1.0,Unknown,0,7,4,27,0,0,0.5617021276595744,188.5,0.5677966101694916
84,Telangana,urban,2,47,1,low,0.318,monsoon,4,12,Day,Rain,0,564.0,5.0,0,Unknown,Working,84.0,80.0,6.0,170.0,0.0,Unknown,0,7,4,27,0,0,0.10638297872340426,282.0,0.49411764705882355
85,Telangana,urban,2,47,1,low,0.318,monsoon,4,13,Day,Thunderstorm,0,416.0,18.7,0,Unknown,Working,58.0,45.0,4.0,107.0,0.0,Unknown,0,7,4,27,0,0,0.3978723404255319,208.0,0.5420560747663551
86,Telangana,urban,2,47,1,low,0.318,monsoon,4,14,Day,Thunderstorm,0,440.0,14.2,0,Unknown,Working,56.0,36.0,7.0,99.0,0.0,Unknown,0,7,4,27,0,0,0.3021276595744681,220.0,0.5656565656565656
87,Telangana,urban,2,47,1,low,0.318,monsoon,4,15,Day,Rain,0,926.0,8.1,0,Unknown,Working,74.0,34.0,3.0,111.0,1.0,Unknown,0,7,4,27,0,0,0.1723404255319149,463.0,0.6666666666666666
88,Telangana,urban,2,47,1,low,0.318,monsoon,4,16,Day,Clear,0,273.0,30.7,0,Unknown,Working,62.0,78.0,3.0,143.0,2.0,Unknown,0,7,4,27,0,0,0.6531914893617021,136.5,0.43356643356643354
89,Telangana,urban,2,47,1,low,0.318,monsoon,4,17,Day,Rain,1,661.0,23.6,1,Unknown,Working,86.0,116.0,6.0,208.0,2.0,Unknown,0,7,4,27,0,0,0.5021276595744681,330.5,0.41346153846153844
90,Telangana,urban,2,47,1,low,0.318,monsoon,4,18,Day,Rain,1,1059.0,9.3,1,Unknown,Working,50.0,64.0,3.0,117.0,3.0,Unknown,0,7,4,27,0,0,0.19787234042553192,529.5,0.42735042735042733
91,Telangana,urban,2,47,1,low,0.318,monsoon,4,19,Dusk/Dawn,Clear,1,829.0,13.0,1,Unknown,Working,89.0,51.0,5.0,145.0,2.0,Unknown,0,7,4,27,0,0,0.2765957446808511,414.5,0.6137931034482759
92,Telangana,urban,2,47,1,low,0.318,monsoon,4,20,Night,Clear,1,1379.0,8.5,1,Unknown,Working,31.0,37.0,8.0,76.0,2.0,Unknown,0,7,4,27,0,1,0.18085106382978725,689.5,0.40789473684210525
93,Telangana,urban,2,47,1,low,0.318,monsoon,4,21,Night,Rain,1,673.0,6.7,1,Unknown,Working,70.0,67.0,9.0,146.0,0.0,Unknown,0,7,4,27,0,1,0.1425531914893617,336.5,0.4794520547945205
94,Telangana,urban,2,47,1,low,0.318,monsoon,4,22,Night,Thunderstorm,0,304.0,17.5,0,Unknown,Working,74.0,96.0,3.0,173.0,1.0,Unknown,0,7,4,27,0,1,0.3723404255319149,152.0,0.4277456647398844
95,Telangana,urban,2,47,1,low,0.318,monsoon,4,23,Night,Rain,0,504.0,14.8,0,Unknown,Working,40.0,73.0,4.0,117.0,0.0,Unknown,0,7,4,27,0,1,0.3148936170212766,252.0,0.3418803418803419
96,Telangana,urban,2,47,1,low,0.318,monsoon,5,0,Night,Rain,0,558.0,8.5,0,Unknown,Working,30.0,47.0,5.0,82.0,0.0,Unknown,0,7,5,27,1,1,0.18085106382978725,279.0,0.36585365853658536
97,Telangana,urban,2,47,1,low,0.318,monsoon,5,1,Night,Clear,0,421.0,22.2,0,Unknown,Working,78.0,78.0,6.0,162.0,2.0,Unknown,0,7,5,27,1,1,0.47234042553191485,210.5,0.48148148148148145
98,Telangana,urban,2,47,1,low,0.318,monsoon,5,2,Night,Rain,0,413.0,9.6,0,Unknown,Working,90.0,39.0,8.0,137.0,0.0,Unknown,0,7,5,27,1,1,0.20425531914893616,206.5,0.656934306569343
99,Telangana,urban,2,47,1,low,0.318,monsoon,5,3,Night,Thunderstorm,0,175.0,29.7,0,Unknown,Blinking,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,5,27,1,1,0.6319148936170212,87.5,0.4195804195804196
100,Telangana,urban,2,47,1,low,0.318,monsoon,5,4,Night,Clear,0,668.0,15.6,0,Unknown,Blinking,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,5,27,1,1,0.33191489361702126,334.0,0.4195804195804196
101,Telangana,urban,2,47,1,low,0.318,monsoon,5,5,Dusk/Dawn,Rain,0,206.0,24.1,0,Unknown,Working,34.0,108.0,7.0,149.0,1.0,Unknown,0,7,5,27,1,1,0.5127659574468085,103.0,0.22818791946308725
102,Telangana,urban,2,47,1,low,0.318,monsoon,5,6,Day,Rain,0,335.0,21.4,0,Unknown,Working,61.0,74.0,5.0,140.0,1.0,Unknown,0,7,5,27,1,0,0.4553191489361702,167.5,0.4357142857142857
103,Telangana,urban,2,47,1,low,0.318,monsoon,5,7,Day,Rain,0,599.0,18.8,0,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,5,27,1,0,0.4,299.5,0.4195804195804196
104,Telangana,urban,2,47,1,low,0.318,monsoon,5,8,Day,Rain,1,850.0,6.7,1,Unknown,Working,32.0,91.0,4.0,127.0,0.0,Unknown,0,7,5,27,1,0,0.1425531914893617,425.0,0.25196850393700787
105,Telangana,urban,2,47,1,low,0.318,monsoon,5,9,Day,Clear,0,638.0,10.7,0,Unknown,Working,88.0,31.0,5.0,124.0,0.0,Unknown,0,7,5,27,1,0,0.2276595744680851,319.0,0.7096774193548387
106,Telangana,urban,2,47,1,low,0.318,monsoon,5,10,Day,Rain,1,1297.0,5.0,1,Unknown,Working,69.0,63.0,7.0,139.0,0.0,Unknown,0,7,5,27,1,0,0.10638297872340426,648.5,0.49640287769784175
107,Telangana,urban,2,47,1,low,0.318,monsoon,5,11,Day,Thunderstorm,1,621.0,9.0,1,Unknown,Working,71.0,66.0,4.0,141.0,4.0,Unknown,0,7,5,27,1,0,0.19148936170212766,310.5,0.5035460992907801
108,Telangana,urban,2,47,1,low,0.318,monsoon,5,12,Day,Rain,0,724.0,6.8,0,Unknown,Working,26.0,64.0,7.0,97.0,0.0,Unknown,1,7,5,27,1,0,0.14468085106382977,362.0,0.26804123711340205
109,Telangana,urban,2,47,1,low,0.318,monsoon,5,13,Day,Rain,0,416.0,12.1,0,Unknown,Working,56.0,97.0,7.0,160.0,0.0,Unknown,0,7,5,27,1,0,0.2574468085106383,208.0,0.35
110,Telangana,urban,2,47,1,low,0.318,monsoon,5,15,Day,Rain,0,798.0,5.0,0,Unknown,Working,48.0,47.0,5.0,100.0,0.0,Unknown,0,7,5,27,1,0,0.10638297872340426,399.0,0.48
111,Telangana,urban,2,47,1,low,0.318,monsoon,5,16,Day,Rain,0,196.0,23.6,0,Unknown,Working,42.0,33.0,3.0,78.0,0.0,Unknown,1,7,5,27,1,0,0.5021276595744681,98.0,0.5384615384615384
112,Telangana,urban,2,47,1,low,0.318,monsoon,5,17,Day,Rain,1,614.0,13.3,1,Unknown,Working,56.0,80.0,7.0,143.0,1.0,Unknown,0,7,5,27,1,0,0.28297872340425534,307.0,0.3916083916083916
113,Telangana,urban,2,47,1,low,0.318,monsoon,5,18,Day,Rain,0,539.0,23.6,0,Unknown,Working,86.0,87.0,5.0,178.0,1.0,Unknown,0,7,5,27,1,0,0.5021276595744681,269.5,0.48314606741573035
114,Telangana,urban,2,47,1,low,0.318,monsoon,5,19,Dusk/Dawn,Rain,0,317.0,21.4,0,Unknown,Working,47.0,81.0,6.0,134.0,1.0,Unknown,0,7,5,27,1,0,0.4553191489361702,158.5,0.35074626865671643
